;github-parser/contributor_matrix_generator.py;github-parser/db_coloumn_constants.py;retrieve_2015_data.sh;github-parser/file_matrix_generator.py;github-parser/analysis.py;github-parser/requester.py;retrieve_2016_data.sh;github-parser/init_db.py;github-parser/classes/harvester.py;.idea/oss-github-analysis-project.iml;projectsShort.csv;projects.csv;.gitignore;.idea/misc.xml;README.md;github-parser/commit_matrix_generator.py;github-parser/classes/requester.py;github-parser/generate_commit_and_file_matrices.py;github-parser/harvester.py;.idea/modules.xml;.idea/vcs.xml;github-parser/__init__.py;github-parser/generate_matrices.py;config_secret.yaml;config_secret.yaml.example;github-parser/tf-idf.py;github-parser/__main__.py;github-parser/db_column_constants.py;.directory;github-parser/fetch_single_repo.py;github-parser/database_service.py;config.yaml;LICENSE;
github-parser/contributor_matrix_generator.py;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;1;0;0;0;0;1;0;0;5;0;0;
github-parser/db_coloumn_constants.py;0;0;0;1;2;0;0;3;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;3;0;0;
retrieve_2015_data.sh;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
github-parser/file_matrix_generator.py;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;5;0;0;2;0;0;0;0;0;0;0;0;1;0;0;5;0;0;
github-parser/analysis.py;0;2;0;0;0;2;0;5;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;2;0;0;0;8;0;0;
github-parser/requester.py;0;0;0;0;2;0;1;3;1;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;2;0;1;0;4;0;0;
retrieve_2016_data.sh;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
github-parser/init_db.py;0;3;0;1;5;3;0;0;0;2;0;0;0;0;0;0;0;0;12;0;0;0;0;0;1;1;6;0;0;0;17;0;0;
github-parser/classes/harvester.py;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;2;0;1;0;0;0;0;
.idea/oss-github-analysis-project.iml;0;0;0;0;0;0;0;2;0;0;1;1;1;2;0;0;0;0;0;2;2;1;0;0;1;0;1;0;1;0;2;1;0;
projectsShort.csv;0;0;0;0;0;0;0;0;0;1;0;2;0;1;0;0;0;0;0;1;1;1;0;0;1;0;1;0;1;0;0;1;0;
projects.csv;0;0;0;0;0;0;0;0;0;1;2;0;0;1;0;0;0;0;0;1;1;1;0;0;1;0;1;0;1;0;0;1;0;
.gitignore;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;
.idea/misc.xml;0;0;0;0;0;0;0;0;0;2;1;1;1;0;0;0;0;0;0;2;2;1;0;0;1;0;1;0;1;0;0;1;0;
README.md;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
github-parser/commit_matrix_generator.py;3;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;3;0;0;
github-parser/classes/requester.py;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
github-parser/generate_commit_and_file_matrices.py;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
github-parser/harvester.py;1;3;0;2;4;6;1;12;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;2;0;9;1;1;0;21;0;0;
.idea/modules.xml;0;0;0;0;0;0;0;0;0;2;1;1;1;2;0;0;0;0;0;0;2;1;0;0;1;0;1;0;1;0;0;1;0;
.idea/vcs.xml;0;0;0;0;0;0;0;0;0;2;1;1;1;2;0;0;0;0;0;2;0;1;0;0;1;0;1;0;1;0;0;1;0;
github-parser/__init__.py;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;1;1;0;0;0;1;0;1;0;1;0;0;1;0;
github-parser/generate_matrices.py;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
config_secret.yaml;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;
config_secret.yaml.example;0;0;0;0;0;0;0;1;0;1;1;1;0;1;0;0;0;0;2;1;1;1;0;0;0;0;1;0;1;0;2;1;0;
github-parser/tf-idf.py;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;
github-parser/__main__.py;0;1;0;0;2;2;0;6;2;1;1;1;0;1;0;0;1;0;9;1;1;1;0;1;1;0;0;0;2;0;8;1;0;
github-parser/db_column_constants.py;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
.directory;0;0;0;0;0;1;0;0;1;1;1;1;0;1;0;0;0;0;1;1;1;1;0;0;1;0;2;0;0;0;0;1;0;
github-parser/fetch_single_repo.py;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
github-parser/database_service.py;5;3;0;5;8;4;0;17;0;2;0;0;0;0;0;3;0;0;21;0;0;0;0;1;2;2;8;1;0;0;0;0;0;
config.yaml;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;1;1;1;0;0;1;0;1;0;1;0;0;0;0;
LICENSE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
