;projectsShort.csv;.idea/misc.xml;retrieve_2016_data.sh;config.yaml;github-parser/requester.py;github-parser/tf-idf.py;github-parser/db_column_constants.py;.gitignore;github-parser/__init__.py;github-parser/init_db.py;config_secret.yaml.example;github-parser/database_service.py;github-parser/commit_matrix_generator.py;LICENSE;github-parser/analysis.py;projects.csv;github-parser/generate_matrices.py;github-parser/harvester.py;github-parser/generate_commit_and_file_matrices.py;retrieve_2015_data.sh;github-parser/db_coloumn_constants.py;config_secret.yaml;github-parser/__main__.py;github-parser/classes/requester.py;github-parser/fetch_single_repo.py;github-parser/classes/harvester.py;README.md;.idea/vcs.xml;github-parser/file_matrix_generator.py;.idea/oss-github-analysis-project.iml;.idea/modules.xml;.directory;github-parser/contributor_matrix_generator.py;
projectsShort.csv;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;
.idea/misc.xml;1;0;0;1;0;0;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2;0;2;2;1;0;
retrieve_2016_data.sh;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
config.yaml;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;
github-parser/requester.py;0;0;1;0;0;0;0;0;0;3;0;4;0;0;2;0;0;6;0;0;0;0;2;0;0;1;0;0;0;0;0;1;0;
github-parser/tf-idf.py;0;0;0;0;0;0;0;0;0;1;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
github-parser/db_column_constants.py;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;
.gitignore;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;
github-parser/__init__.py;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;
github-parser/init_db.py;0;0;0;0;3;1;0;0;0;0;1;17;0;0;5;0;0;12;0;0;3;0;6;0;0;0;0;0;1;2;0;0;0;
config_secret.yaml.example;1;1;0;1;0;0;0;0;1;1;0;2;0;0;0;1;0;2;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;
github-parser/database_service.py;0;0;0;0;4;2;1;0;0;17;2;0;3;0;8;0;0;21;0;0;3;1;8;0;0;0;0;0;5;2;0;0;5;
github-parser/commit_matrix_generator.py;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;5;0;0;0;3;
LICENSE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
github-parser/analysis.py;0;0;0;0;2;2;0;0;0;5;0;8;0;0;0;0;0;4;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;
